Date,Close,Date
2022-05-09 00:00:00-03:00,,2022-05-09 00:00:00-03:00
2022-05-10 00:00:00-03:00,,2022-05-10 00:00:00-03:00
2022-05-11 00:00:00-03:00,,2022-05-11 00:00:00-03:00
2022-05-12 00:00:00-03:00,,2022-05-12 00:00:00-03:00
2022-05-13 00:00:00-03:00,,2022-05-13 00:00:00-03:00
2022-05-16 00:00:00-03:00,,2022-05-16 00:00:00-03:00
2022-05-17 00:00:00-03:00,,2022-05-17 00:00:00-03:00
2022-05-18 00:00:00-03:00,,2022-05-18 00:00:00-03:00
2022-05-19 00:00:00-03:00,,2022-05-19 00:00:00-03:00
2022-05-20 00:00:00-03:00,,2022-05-20 00:00:00-03:00
2022-05-23 00:00:00-03:00,,2022-05-23 00:00:00-03:00
2022-05-24 00:00:00-03:00,,2022-05-24 00:00:00-03:00
2022-05-25 00:00:00-03:00,,2022-05-25 00:00:00-03:00
2022-05-26 00:00:00-03:00,57.352925708154956,2022-05-26 00:00:00-03:00
2022-05-27 00:00:00-03:00,67.53243107338987,2022-05-27 00:00:00-03:00
2022-05-30 00:00:00-03:00,58.078586798587224,2022-05-30 00:00:00-03:00
2022-05-31 00:00:00-03:00,60.08402738403159,2022-05-31 00:00:00-03:00
2022-06-01 00:00:00-03:00,55.35712917242489,2022-06-01 00:00:00-03:00
2022-06-02 00:00:00-03:00,59.83933866419912,2022-06-02 00:00:00-03:00
2022-06-03 00:00:00-03:00,51.18109053663272,2022-06-03 00:00:00-03:00
2022-06-06 00:00:00-03:00,44.36860623696029,2022-06-06 00:00:00-03:00
2022-06-07 00:00:00-03:00,44.21770362477152,2022-06-07 00:00:00-03:00
2022-06-08 00:00:00-03:00,42.26804664285435,2022-06-08 00:00:00-03:00
2022-06-09 00:00:00-03:00,41.83673039089275,2022-06-09 00:00:00-03:00
2022-06-10 00:00:00-03:00,34.911240600103625,2022-06-10 00:00:00-03:00
2022-06-13 00:00:00-03:00,33.14607208116092,2022-06-13 00:00:00-03:00
2022-06-14 00:00:00-03:00,28.370789602057968,2022-06-14 00:00:00-03:00
2022-06-15 00:00:00-03:00,29.752063075964784,2022-06-15 00:00:00-03:00
2022-06-17 00:00:00-03:00,32.0441956929221,2022-06-17 00:00:00-03:00
2022-06-20 00:00:00-03:00,30.687828818980226,2022-06-20 00:00:00-03:00
2022-06-21 00:00:00-03:00,31.41361008198599,2022-06-21 00:00:00-03:00
2022-06-22 00:00:00-03:00,33.76288013638528,2022-06-22 00:00:00-03:00
2022-06-23 00:00:00-03:00,30.163057562533023,2022-06-23 00:00:00-03:00
2022-06-24 00:00:00-03:00,28.17260050491479,2022-06-24 00:00:00-03:00
2022-06-27 00:00:00-03:00,30.000002577496925,2022-06-27 00:00:00-03:00
2022-06-28 00:00:00-03:00,31.805159785458887,2022-06-28 00:00:00-03:00
2022-06-29 00:00:00-03:00,31.267612747102273,2022-06-29 00:00:00-03:00
2022-06-30 00:00:00-03:00,31.267612747102287,2022-06-30 00:00:00-03:00
2022-07-01 00:00:00-03:00,35.576933069809535,2022-07-01 00:00:00-03:00
2022-07-04 00:00:00-03:00,38.81120186946801,2022-07-04 00:00:00-03:00
2022-07-05 00:00:00-03:00,44.75524079112295,2022-07-05 00:00:00-03:00
2022-07-06 00:00:00-03:00,43.77225310444696,2022-07-06 00:00:00-03:00
2022-07-07 00:00:00-03:00,48.53421531103603,2022-07-07 00:00:00-03:00
2022-07-08 00:00:00-03:00,53.405026374726205,2022-07-08 00:00:00-03:00
2022-07-11 00:00:00-03:00,43.68931709227586,2022-07-11 00:00:00-03:00
2022-07-12 00:00:00-03:00,42.19270797689385,2022-07-12 00:00:00-03:00
2022-07-13 00:00:00-03:00,34.21926762933844,2022-07-13 00:00:00-03:00
2022-07-14 00:00:00-03:00,43.295018317106226,2022-07-14 00:00:00-03:00
2022-07-15 00:00:00-03:00,50.37314256067036,2022-07-15 00:00:00-03:00
2022-07-18 00:00:00-03:00,52.5291825905999,2022-07-18 00:00:00-03:00
2022-07-19 00:00:00-03:00,51.724120291422025,2022-07-19 00:00:00-03:00
2022-07-20 00:00:00-03:00,62.57860682716171,2022-07-20 00:00:00-03:00
2022-07-21 00:00:00-03:00,64.0127221200213,2022-07-21 00:00:00-03:00
2022-07-22 00:00:00-03:00,60.72506238491457,2022-07-22 00:00:00-03:00
2022-07-25 00:00:00-03:00,59.119496100887794,2022-07-25 00:00:00-03:00
2022-07-26 00:00:00-03:00,50.180491991733,2022-07-26 00:00:00-03:00
2022-07-27 00:00:00-03:00,49.264708202597845,2022-07-27 00:00:00-03:00
2022-07-28 00:00:00-03:00,57.70489424863406,2022-07-28 00:00:00-03:00
2022-07-29 00:00:00-03:00,61.11110191287599,2022-07-29 00:00:00-03:00
2022-08-01 00:00:00-03:00,61.24565567181496,2022-08-01 00:00:00-03:00
2022-08-02 00:00:00-03:00,66.54133869206923,2022-08-02 00:00:00-03:00
2022-08-03 00:00:00-03:00,73.59048748848232,2022-08-03 00:00:00-03:00
2022-08-04 00:00:00-03:00,76.32976618759776,2022-08-04 00:00:00-03:00
2022-08-05 00:00:00-03:00,75.52629617443795,2022-08-05 00:00:00-03:00
2022-08-08 00:00:00-03:00,79.31936159785776,2022-08-08 00:00:00-03:00
2022-08-09 00:00:00-03:00,64.42046979348213,2022-08-09 00:00:00-03:00
2022-08-10 00:00:00-03:00,70.27025053268265,2022-08-10 00:00:00-03:00
2022-08-11 00:00:00-03:00,76.43169742579512,2022-08-11 00:00:00-03:00
2022-08-12 00:00:00-03:00,79.54108775349624,2022-08-12 00:00:00-03:00
2022-08-15 00:00:00-03:00,81.14285018817348,2022-08-15 00:00:00-03:00
